text,label,Pattern Category
Only 1 left In Stock,Dark,Scarcity
Availability: Only 4 Left!,Dark,Scarcity
 Personalised Gifts ,Not Dark,Not Dark Pattern
A customer service specialist will contact you soon.,Not Dark,Not Dark Pattern
Your order is reserved for 09:54 minutes!,Dark,Urgency
 Screws & Other Fixings ,Not Dark,Not Dark Pattern
Use the domain shortly after payment,Not Dark,Not Dark Pattern
Office Supplies & Decor,Not Dark,Not Dark Pattern
This size has only 1 left in stock,Dark,Scarcity
Arrow,Not Dark,Not Dark Pattern
Returns an Item,Not Dark,Not Dark Pattern
HOT PRODUCT Over 250 people are looking at this item.,Dark,Social Proof
I don't want to save money,Dark,Misdirection
HURRY! ONLY 2 LEFT IN STOCK!,Dark,Scarcity
Hair type: Curly,Not Dark,Not Dark Pattern
DEAL ENDS IN 40:55:13,Dark,Urgency
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Dark,Social Proof
Only 1 Left,Dark,Scarcity
Search for similiar products,Not Dark,Not Dark Pattern
Only 33 left,Dark,Scarcity
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark,Not Dark Pattern
Promaster City Remotes,Not Dark,Not Dark Pattern
"Hurry, only a few left!",Dark,Scarcity
 V&A Collection People Treeâ€™s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark,Not Dark Pattern
Only 11 left!,Dark,Scarcity
Hurry! Only 6 left in stock,Dark,Scarcity
40 users are currently active on our website just now.,Dark,Social Proof
Hair Tools,Not Dark,Not Dark Pattern
Email Address*,Not Dark,Not Dark Pattern
 Send Us Your Jersey ,Not Dark,Not Dark Pattern
 View All Home Office Furniture ,Not Dark,Not Dark Pattern
Search Result:Search Results: ,Not Dark,Not Dark Pattern
90% offers claimed. Hurry up!,Dark,Scarcity
Tube Tops,Not Dark,Not Dark Pattern
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Dark,Social Proof
Hair type: Wavy,Not Dark,Not Dark Pattern
7 people looked at this product in the last 24 hours.,Dark,Social Proof
Glow Gear,Not Dark,Not Dark Pattern
18 In Stock,Dark,Scarcity
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Dark,Social Proof
00:15:07:45,Dark,Urgency
"No, I'll rather pay full price.",Dark,Misdirection
Only 9 Left.,Dark,Scarcity
Deals of the Week,Not Dark,Not Dark Pattern
" ... It covers love and loss, friendship and pain through ",Not Dark,Not Dark Pattern
1 person is viewing this,Dark,Social Proof
Your order is reserved for 09:14 minutes! ,Dark,Urgency
" Gift TypeFlowers, Cakes, Plants, etc. ",Not Dark,Not Dark Pattern
 CAMILLA World ,Not Dark,Not Dark Pattern
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,Not Dark,Not Dark Pattern
Fun Treat Tossing,Not Dark,Not Dark Pattern
Limited time remaining!,Dark,Urgency
"No thanks, I'll pay full price",Dark,Misdirection
Your shopping bag is empty...,Not Dark,Not Dark Pattern
Trousers & Chinos,Not Dark,Not Dark Pattern
Only 7 left in stock!,Dark,Scarcity
Only 5 item(s) left.,Dark,Scarcity
 Chargers ,Not Dark,Not Dark Pattern
(only 5 left),Dark,Scarcity
 Eyelashes ,Not Dark,Not Dark Pattern
Pick the price that matches your budget. ,Not Dark,Not Dark Pattern
"Bringing the latest footwear, â€˜fits and accessories from the biggest brands, the JD app makes coppinâ€™ the hottest looks even easier!",Not Dark,Not Dark Pattern
Child Safety,Not Dark,Not Dark Pattern
 Cosmic Rainbow ,Not Dark,Not Dark Pattern
NRA Annual Meetings & Exhibits,Not Dark,Not Dark Pattern
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,Not Dark,Not Dark Pattern
 Moonstone Beads ,Not Dark,Not Dark Pattern
I'll Shop Without A Discount,Dark,Misdirection
Only 11 Left In Stock,Dark,Scarcity
 Netherlands Antilles USD,Not Dark,Not Dark Pattern
Was this product description useful?YesNo,Not Dark,Not Dark Pattern
Returns Information,Not Dark,Not Dark Pattern
TiesToys & GamesTravelWatches,Not Dark,Not Dark Pattern
Bought by 39 people in last few hours! HOT SELLER!,Dark,Social Proof
Books and Stationery,Not Dark,Not Dark Pattern
Your order is reserved for 08:48 minutes!,Dark,Urgency
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Dark,Urgency
 Bioactive Custodians ,Not Dark,Not Dark Pattern
 Most-Hearted Styles Shop Now ,Not Dark,Not Dark Pattern
 Use a clean vase and clean water.,Not Dark,Not Dark Pattern
" well, this is awkward. ",Not Dark,Not Dark Pattern
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done ðŸ‘,Not Dark,Not Dark Pattern
 AllÂ Licensed ,Not Dark,Not Dark Pattern
Nursing chairs,Not Dark,Not Dark Pattern
Only 1 Item(s) left,Dark,Scarcity
Discount pending $10 OFF 00:30:00,Dark,Urgency
Juniors' Shoes,Not Dark,Not Dark Pattern
Limited Time: $10 Off! Discount Reflected In Price!,Dark,Urgency
Switchers,Not Dark,Not Dark Pattern
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Not Dark,Not Dark Pattern
Ribbons,Not Dark,Not Dark Pattern
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Not Dark,Not Dark Pattern
IN 43 PEOPLE'S SHOPPING BAG,Dark,Social Proof
 Amethyst Beads ,Not Dark,Not Dark Pattern
Down Jackets,Not Dark,Not Dark Pattern
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Dark,Urgency
"BERNARD in Philadelphia, United States purchased a",Dark,Social Proof
"NO THANKS, I DONâ€™T MIND MISSING OUT",Dark,Misdirection
"Hurry, only 1 left!",Dark,Scarcity
Only 26 Left,Dark,Scarcity
7 sold in last 24 hours,Dark,Social Proof
Buy WearablesÂ»,Not Dark,Not Dark Pattern
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Dark,Urgency
 Watercolour Brushes Toggle category Watercolour Brushes ,Not Dark,Not Dark Pattern
LightInTheBox æŽ²è¼‰è¨˜äº‹,Not Dark,Not Dark Pattern
Clear filter,Not Dark,Not Dark Pattern
HURRY UP > 09H 42M 39S,Dark,Urgency
 Sweats ,Not Dark,Not Dark Pattern
Q:Â Will this damage my hair?,Not Dark,Not Dark Pattern
Brandon Blackwood,Not Dark,Not Dark Pattern
"Someone in Sasebo, Japan just bought",Dark,Social Proof
80 Customers are considering this product right now.,Dark,Social Proof
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Dark,Social Proof
 End Tables,Not Dark,Not Dark Pattern
ONLY 2 LEFT IN STOCK!,Dark,Scarcity
Only few items left in stock,Dark,Scarcity
Only 1.75 yards left in stock!,Dark,Scarcity
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark,Not Dark Pattern
71 people have purchased this item,Dark,Social Proof
Only 8 left,Dark,Scarcity
Subscribe & Save,Dark,Misdirection
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Not Dark,Not Dark Pattern
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Dark,Social Proof
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Dark,Social Proof
00DAYS00HOURS14MINUTES21SECONDS,Dark,Urgency
"Great prices, professional customer services",Not Dark,Not Dark Pattern
Carnival Remotes,Not Dark,Not Dark Pattern
Hurry! Only 1 left in size M!!,Dark,Scarcity
Items in your cart are in high demand.,Dark,Scarcity
 VIP Points! ,Not Dark,Not Dark Pattern
Root Touch Up + Brow Filler,Not Dark,Not Dark Pattern
Limited stock Only 2 left,Dark,Scarcity
" Looks like your cart is empty, let's fix that! ",Not Dark,Not Dark Pattern
Over 500 left in stock,Dark,Scarcity
Lasers ,Not Dark,Not Dark Pattern
Choose your payment day. View your schedule and select pay now.,Not Dark,Not Dark Pattern
Hurry up! 6 people other than you have this product in their cart,Dark,Social Proof
 E-Gift Cards ,Not Dark,Not Dark Pattern
1 LEFT,Dark,Scarcity
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Dark,Social Proof
 Personalised Chocolates ,Not Dark,Not Dark Pattern
Shop Dresses by Occasion,Not Dark,Not Dark Pattern
I do not want to protect my item,Dark,Misdirection
Add to Your Gift and We'll Ship it For Free!,Dark,Misdirection
Wallets ,Not Dark,Not Dark Pattern
 Exclusive offers & discounts for club members via email ,Not Dark,Not Dark Pattern
Buy with humm.,Not Dark,Not Dark Pattern
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Not Dark,Not Dark Pattern
Synthesis E-MTB Carbon Wheelset,Not Dark,Not Dark Pattern
"25,439 people have viewed this item",Dark,Social Proof
No thanks I definitely measured correctly,Dark,Misdirection
57 PEOPLE HAVE LOOKED AT THIS TODAY,Dark,Social Proof
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Dark,Social Proof
Women's ApparelCollection ,Not Dark,Not Dark Pattern
"Before you check out, can we tempt you?",Dark,Misdirection
 Women's Sandals ,Not Dark,Not Dark Pattern
 Plant-Based Beauty ,Not Dark,Not Dark Pattern
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Dark,Obstruction
 Frame out of stock in this colour,Not Dark,Not Dark Pattern
Hair Care Sets,Not Dark,Not Dark Pattern
Limited quantity remaining,Dark,Scarcity
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark,Not Dark Pattern
"128 sold today! Hurry, only a few left!",Dark,Scarcity
4 people are looking at this right now.,Dark,Social Proof
"No thanks, I dont want a discount",Dark,Misdirection
"Someone from Portland, United States (US) purchased MODALERT recently.",Dark,Social Proof
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Dark,Urgency
2 people are viewing this,Dark,Social Proof
HURRY! ONLY 1 IN STOCK!,Dark,Scarcity
Printed ,Not Dark,Not Dark Pattern
Patient Transfer Devices,Not Dark,Not Dark Pattern
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark,Not Dark Pattern
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark,Not Dark Pattern
LAST CHANCE TO ACTIVATE 10% OFF,Dark,Scarcity
Your order is reserved for 09:45 minutes!,Dark,Urgency
only 5 left,Dark,Scarcity
78 Persons looking for this product,Dark,Social Proof
 Heart Shaped Cake ,Not Dark,Not Dark Pattern
227 Bought Already,Dark,Social Proof
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Not Dark,Not Dark Pattern
Universal Fit Collapsible Smart Phone Stand,Not Dark,Not Dark Pattern
Hurry! Only Limited Items Left,Dark,Scarcity
ç¾ä»£å¥´éš·æ³•ã«å¯¾ã™ã‚‹é€æ˜Žæ€§ã«é–¢ã™ã‚‹å£°æ˜Ž (opens in a new tab),Not Dark,Not Dark Pattern
Strong demand! Complete your order before it's too late!,Dark,Scarcity
Your order is reserved for 09:56 minutes!,Dark,Urgency
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Dark,Social Proof
Gift Wrapping Supplies,Not Dark,Not Dark Pattern
6 others have already bought this deal today!,Dark,Social Proof
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Dark,Obstruction
info@coolhockey.com,Not Dark,Not Dark Pattern
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Dark,Urgency
 Safe & Secure Checkout ,Not Dark,Not Dark Pattern
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Dark,Social Proof
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Dark,Social Proof
Wall Mounted Air Conditioners,Not Dark,Not Dark Pattern
"803 Claimed! Hurry, only a few left!",Dark,Scarcity
"Monira in Doha, Qatar purchased a LilyVanityâ„¢ Velvet Box",Dark,Social Proof
Only 2 left!,Dark,Scarcity
3 PEOPLE VIEWING,Dark,Social Proof
"No thanks, Iâ€™d rather pay full price.",Dark,Misdirection
Product Feature,Not Dark,Not Dark Pattern
Plant-based Protein,Not Dark,Not Dark Pattern
Parad Combo Deals ,Not Dark,Not Dark Pattern
Last Shape Guide,Not Dark,Not Dark Pattern
 Baby & Toddler Toys ,Not Dark,Not Dark Pattern
Shipping Insurance Remove Insurance,Dark,Sneaking
Clocks ,Not Dark,Not Dark Pattern
 Cat's Eye Beads ,Not Dark,Not Dark Pattern
Shop now. Pay later. Always interest-free,Not Dark,Not Dark Pattern
Stay with us in India,Not Dark,Not Dark Pattern
No thanks. I donâ€™t want deals.,Dark,Misdirection
Wyse Thin Client,Not Dark,Not Dark Pattern
AdjustableBucketHeadbandsSale Items- View All -,Not Dark,Not Dark Pattern
 Every bicycle tells a story ,Not Dark,Not Dark Pattern
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark,Not Dark Pattern
Add and save!,Dark,Misdirection
Intercoms & Doorbells,Not Dark,Not Dark Pattern
Boys Purple School Uniforms,Not Dark,Not Dark Pattern
RECENTLY VIEWED 2 others viewed this in the last few hours,Dark,Social Proof
2 viewed per hour,Dark,Social Proof
1 other customers have this item in their shopping cart,Dark,Social Proof
ONLY A FEW LEFT IN STOCK,Dark,Scarcity
1day21:04:58,Dark,Urgency
Fashion Forms,Not Dark,Not Dark Pattern
Stock Low : 6 items left.,Dark,Scarcity
"NO, I'LL PAY FULL PRICE",Dark,Misdirection
Terrarium Light Canopies,Not Dark,Not Dark Pattern
"HURRY, LOW IN STOCK!",Dark,Scarcity
Only 4 copies left,Dark,Scarcity
2 LEFT,Dark,Scarcity
Feedback,Not Dark,Not Dark Pattern
2 DAYS 13:06:13,Dark,Urgency
Receive news and updates on new products,Not Dark,Not Dark Pattern
5338 people bought this,Dark,Social Proof
2 left in stock,Dark,Scarcity
 dFresh - Fresh Products ,Not Dark,Not Dark Pattern
Thanks! -RMO Team,Not Dark,Not Dark Pattern
"6,743 people have viewed recently",Dark,Social Proof
Selling fast!,Dark,Scarcity
Welcome To Hotter us,Not Dark,Not Dark Pattern
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Dark,Urgency
" To enable notifications, click 'Allow' when prompted. ",Not Dark,Not Dark Pattern
 PHX Mercury ,Not Dark,Not Dark Pattern
Easy Release Cleat Kit,Not Dark,Not Dark Pattern
111 people have purchased this item,Dark,Social Proof
Flowers Trivia:,Not Dark,Not Dark Pattern
Your order is reserved for 09:58 minutes!,Dark,Urgency
I've recommended The Keeper of Lost Things to everyone.,Not Dark,Not Dark Pattern
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Dark,Urgency
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix â€˜Standardâ€™ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Dark,Sneaking
Celebrity Synthetic Wigs,Not Dark,Not Dark Pattern
1626 people seeing this product right now,Dark,Social Proof
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",Not Dark,Not Dark Pattern
 Glow Gear ,Not Dark,Not Dark Pattern
Converse,Not Dark,Not Dark Pattern
Stay Connected,Not Dark,Not Dark Pattern
Only 1 left in Stock,Dark,Scarcity
sales@ecklers.net,Not Dark,Not Dark Pattern
0 Days 2 Hours 57 Minutes 53 Seconds,Dark,Urgency
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Dark,Social Proof
Only 34 Left!,Dark,Scarcity
"William in Pago Pago, United States purchased a",Dark,Social Proof
"No thanks, I donâ€™t like fun and games.",Dark,Misdirection
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just Â£80?",Dark,Misdirection
Explore The NRA Universe Of Websites,Not Dark,Not Dark Pattern
New In Special Occasion,Not Dark,Not Dark Pattern
"â€º New Year, New Kit Sale",Not Dark,Not Dark Pattern
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Dark,Urgency
 Title of Review ,Not Dark,Not Dark Pattern
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark,Not Dark Pattern
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Dark,Urgency
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Dark,Urgency
Cellular/Honeycomb Shades,Not Dark,Not Dark Pattern
113 people have viewed in the last 24hrs,Dark,Social Proof
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark,Not Dark Pattern
"Jamie in Nashville, United States purchased",Dark,Social Proof
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Dark,Social Proof
Don't miss out! We've sold 38 in the last few days.,Dark,Social Proof
"No, thank you. I prefer to pay the full price",Dark,Misdirection
"No Thanks, I don't like exclusive deals.",Dark,Misdirection
Loading interface...,Not Dark,Not Dark Pattern
 SAF Warriors ,Not Dark,Not Dark Pattern
 Lens Manual Washer ,Not Dark,Not Dark Pattern
"No thanks, I'd like 0% off",Dark,Misdirection
Warm Tips,Not Dark,Not Dark Pattern
 Our Carbon Footprint ,Not Dark,Not Dark Pattern
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark,Not Dark Pattern
Uncheck the box if you prefer not to receive email updates.,Dark,Misdirection
| Add to Compare,Not Dark,Not Dark Pattern
"No Thanks, I Don't Want a Free Gift",Dark,Misdirection
 World of Sweats ,Not Dark,Not Dark Pattern
This item is in high demand.,Dark,Scarcity
Cargo Trousers,Not Dark,Not Dark Pattern
Hair Bundles With Closure,Not Dark,Not Dark Pattern
BreakThrough,Not Dark,Not Dark Pattern
ONLY 1 LEFT! GET IT NOW!,Dark,Scarcity
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Dark,Social Proof
ShopClose menu,Not Dark,Not Dark Pattern
Used Rifles,Not Dark,Not Dark Pattern
ONLY 4 LEFT,Dark,Scarcity
Limited quantity! ,Dark,Scarcity
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Dark,Misdirection
Hurry! Only 15 left!,Dark,Scarcity
 Motocross Boots ,Not Dark,Not Dark Pattern
 Remove Product? ,Not Dark,Not Dark Pattern
 Nursery ,Not Dark,Not Dark Pattern
Footwear Accessories,Not Dark,Not Dark Pattern
Only a few more left!,Dark,Scarcity
0011Days:0088Hours:4411Minutes:21125445Seconds,Dark,Urgency
and future features included!,Not Dark,Not Dark Pattern
69 people are viewing this,Dark,Social Proof
Only 4 items left in stock.,Dark,Scarcity
Natural Backgrounds,Not Dark,Not Dark Pattern
Speed Lace Accessory Kit - Orange,Not Dark,Not Dark Pattern
"No Thanks, I Prefer Paying Full Price",Dark,Misdirection
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",Not Dark,Not Dark Pattern
"Ends in 1 Days, 4 Minutes, 44 Seconds",Dark,Urgency
In Stock - Limited Quantity,Dark,Scarcity
on Freight,Not Dark,Not Dark Pattern
Canvas Wall Art,Not Dark,Not Dark Pattern
Only 8 left in stock. Almost Gone!,Dark,Scarcity
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,Not Dark,Not Dark Pattern
or,Not Dark,Not Dark Pattern
 Short Sleeve Dresses ,Not Dark,Not Dark Pattern
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Dark,Urgency
"No thanks, I don't like promotions and exclusive content.",Dark,Misdirection
 Shop All Lehenga Choli ,Not Dark,Not Dark Pattern
Lack Of Color,Not Dark,Not Dark Pattern
 Eye Protection,Not Dark,Not Dark Pattern
10 Left,Dark,Scarcity
 REPLACE-WITH-DYANMIC-HOST-ID,Not Dark,Not Dark Pattern
TVs,Not Dark,Not Dark Pattern
Only 2 left,Dark,Scarcity
Temporary Tattoos,Not Dark,Not Dark Pattern
3Days01:49:51 Left,Dark,Urgency
Log in / Create an account,Not Dark,Not Dark Pattern
Your order is reserved for 07:28 minutes!,Dark,Urgency
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",Not Dark,Not Dark Pattern
OH SO POPULAR! 21 bought in the last 7 days.,Dark,Social Proof
"No Thanks, I'll Pay Full Price",Dark,Misdirection
Card Storage,Not Dark,Not Dark Pattern
2 customers recently bought it,Dark,Social Proof
Only 1 left in stock,Dark,Scarcity
Horizon Wide Neck Sweatshirt,Not Dark,Not Dark Pattern
All Womens Accessories,Not Dark,Not Dark Pattern
Only 1 left in stock! Get in quick!,Dark,Scarcity
Strip Softbox,Not Dark,Not Dark Pattern
You left 2 items in your bag Released in: 29 minutes :07 seconds,Dark,Urgency
Your first payment will be due on the day of your purchase.*,Not Dark,Not Dark Pattern
7 people have it in their cart,Dark,Social Proof
Pre-order 3 left,Dark,Scarcity
Offer ends in 15hrs 1min 56sec!,Dark,Urgency
"Hurry, this style is selling fast!",Dark,Scarcity
 Glows In The Dark ,Not Dark,Not Dark Pattern
Towel Rails & Racks,Not Dark,Not Dark Pattern
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark,Not Dark Pattern
